"agricultural_veterinary_sciences","arts_design","business_management_law","education_training","engineering_technology","health_medicine","humanities_languages","ict","natural_sciences","social_behavioral_sciences","services","transport_safety_security_military"
"Agricultural and Biological Engineering","Acting","Accounting","Adult Education","Aeronautical","Acupuncture","African","Applied and Computational Mathematics","Advanced Chemistry and Materials","Advertising","Addiction Counseling","Aeronautics and Astronautics"
"Agricultural and Environmental Biology","Advertising","Accounting and Auditing","Applied English","Aeronautical Engineering","Aerospace Physiology","African American and Diaspora Studies","Applied Data Science","African American and African Diaspora Studies","African","Applied Mathematics","Aerospace and Aeronautical Engineering"
"Agricultural and Environmental Systems Science","Ancient Near Eastern and Egyptian Studies","Accounting and Finance","Applied Mathematics","Aerospace Engineering","Allied Health","African American Studies","Applied Mathematics","Agricultural and Environmental Biology","African American and Diaspora Studies","Biochemistry","Aerospace Engineering"
"Agricultural and Extension Education","Animation","Accounting and Information","Applied Psychologyand Human Development","Aerospace Engineering Biotechnology","Allied Health Science","African and African American Studies","Applied Mathematics and Statistics","Agricultural Biotechnology","African American Studies","Biology","Air Traffic Management"
"Agricultural and Life Science","Animation and Special Effects","Accounting and Information Systems","Art Education","Agricultural and Food Engineering","Anatomical Science","Africana Studies","Artificial Intelligence","Agricultural Botany","Agricultural Economics","Business Support Services","Air Transport"
"Agricultural Biotechnology","Animation and VFX","Accounting for Finance and Consulting","Art Teacher Education","Agricultural and Irrigation Engineering","Applied Biosciences","African-American/Black Studies","Artificial Intelligence and Data Science","Agricultural Chemistry","Agricultural Extension","Chemistry","Anthropology"
"Agricultural Botany","Animation Film Design","Actuarial Science","Biology","Agricultural Engineering","Applied Mathematics","American Cultures","Artificial Intelligence and Machine Learning","Agricultural Meteorology","Agricultural Statistics","Community Organization and Advocacy","Aviation"
"Agricultural Business","Apparel","Actuarial Studies","Biology Education","Applied Chemistry","Applied Mathematics and Statistics","American Indian Studies","Artificial Intelligence and Robotics","Agricultural Microbiology","American Studies","Community Resource Development","Aviation Safety"
"Agricultural Business Management","Applied Art","Administrative Law","Biology Pedagogy","Applied Electronics and Instrumentation","Applied Physiology and Kinesiology","American Politics and Law","Artificial Intelligence Medical Data","Agricultural Physics","Anthropology","Community sustainability","Aviation Security"
"Agricultural Chemistry","Applied Music","Advertising","Biology Teaching","Applied Physics","Athletic Training","American Studies","Automation and Control Engineering Technology","Agricultural Zoology","Area Studies","Computational Science","Civil Transport Engineering"
"Agricultural Economics","Archaeology","Advertising and Public Relations","Chemistry","Architectural Engineering","Athletic Training/trainer","American/United States Studies","Big Data","Agronomy","Asian American Studies","Economics","Communication Studies"
"Agricultural Education","Architectural Design","Agricultural Business","Chemistry Education","Architecture","Audiology and Speech-Language Pathology","Ancient History","Bioinformatics","American Studies","Behavioral and Brain Science","Environmental Science","Criminal Justice"
"Agricultural Education and Communication","Architectural Engineering","Agricultural Business Management","Chemistry Pedagogy","Architecture and Building Engineering","Ayurveda","Ancient History and Archaeology","Biotechnology","Animal Biology","Behavioral Decision Science","Environmental Studies","Criminal Justice and Corrections"
"Agricultural Engineering","Architectural Studies","Agricultural Economics","Chemistry Teaching","Artificial Intelligence","Ayurvedic Medicine","Ancient Near Eastern and Egyptian Studies","Business Analytics","Animal Genetics and Breeding","Behavioral Economics Policy and Orgs","Event Management","Criminal Justice and Law Enforcement Administration"
"Agricultural Entomology","Architecture","Apparel Management","Child","Artificial Intelligence and Data Science","Beauty Care","Ancient Studies/Archaeology","Business Information Technology","Anthropology","Business and Entrepreneurship","Family and Child Ecology","Criminal Justice/Safety Studies"
"Agricultural Extension","Architecture and Interior Design","Applied Economics","Child and Family Studies","Artificial Intelligence and Machine Learning","Behavior and Health Science","Ancient Studies/Civilization","Business Intelligence","Applied Biological Chemistry","Chicana/o Studies","Healthcare Administration/Management","Defence Studies"
"Agricultural Journalism","Art","Applied Economics and Management","Child Development","Automobile Engineering","Bio and Brain Engineering","Anthropology","Cloud Computing","Applied Biological Science","Child Development","Healthcare Management","Economics"
"Agricultural Leadership","Art Administration","Applied Finance","Childhood Education","Biomedical Engineering","Biochemistry","Applied Linguistics","Cognitive Science","Applied Biology","Child Studies","Hospitality","Emergency Management"
"Agricultural Meteorology","Art and Archaeology","Applied Mathematics and Statistics","Chinese pedegogy","Biotechnology","Biochemistry and Biophysics","Applied Mathematics","Computational and Applied Mathematics","Applied Chemistry","Child Welfare","Hospitality Administration and Management","Epigraphy and Heritage Management"
"Agricultural Microbiology","Art and Art History","Applied Psychology","Christian Education","Biotechnology Engineering","Biochemistry and Cell Biology","Arabic","Computational Biology","Applied Data Science","Childcare","Hospitality and Event Management","Fire Science"
"Agricultural Physics","Art and Culture Studies","Art and Laws","Civic Education","Chemical Engineering","Biochemistry and Molecular Biology","Arabic Language and Culture","Computational Science and Engineering","Applied Mathematics","Clothing and Textiles","Hospitality and Tourism Management","Fitness Management"
"Agricultural Science","Art and Design","Auditing","Counseling","Chemical Science and Engineering","Bioengineering","Arabic Language and Literature","Computational Social Science","Applied Mathematics / Computational and Applied Mathematics","Cognitive Neuroscience","Hospitality Management","Flight Operation"
"Agricultural Statistics","Art and Technology","Aviation Business Administration","Counseling and Applied Psychological Science","Civil","Bio-food and Pharmaceutical Science","Arabic Studies","Computer and Communication Engineering","Applied Mathematics and Statistics","Cognitive Science","Hotel Management","Geology"
"Agricultural Systems","Art Conservation","Aviation Management","Counseling and Human Services","Civil and Environmental Engineering","Bioinformatics","Archaeology","Computer and Information Engineering","Applied Physics","Commerce","Human Development and Family Science","Homeland Security and Disaster Management"
"Agricultural Systems Management","Art Creation","Banking","Counseling and Personnel Services","Civil Engineering","Biological Chemistry","Architecture","Computer and Information Science","Applied Physics and Electronics","Communication","Human Development and Family Studies","International Relations"
"Agricultural Systems Technology","Art Education","Banking and Finance","Curriculum and Instruction","Cloud Computing","Biological Engineering","Area Studies","Computer and Information Science and Engineering","Applied Psychology","Communication and Media Studies","Human Resources and Labour Relations","Journalism"
