University,Latitude,Longitude,Logo,Rank,Type,Country,Location,Student,Year,Contact,Email,Website,Strength,Description,Exchange,agricultural_food_science,arts_design,economics_business_management,law_political_science,medicine_pharmacy_health_sciences,science_engineering,social_sciences_humanities,sports_physical_education,technology,others
Adelaide University,-34.9208,138.6042,https://upload.wikimedia.org/wikipedia/en/thumb/6/61/Adelaide_University_Common_Seal.svg/345px-Adelaide_University_Common_Seal.svg.png,NA,public,Australia,South Australia,23000,2024,61874205115,NA,https://adelaideuni.edu.au/,"AI, health tech",Adelaide University was founded in 2024 and they are popular for AI and health tech.,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Australian Catholic University,-33.883,151.209,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Australian_Catholic_University_Coat_of_Arms.png/270px-Australian_Catholic_University_Coat_of_Arms.png,26,public,Australia,Australia National,35000,1991,61390070643,NA,https://www.acu.edu.au/,"nursing, theology",Australian Catholic University was founded in 1991 and they are popular for nursing and theology.,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Australian National University,-35.2776,149.1188,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Australian_National_University_coat_of_arms.svg/270px-Australian_National_University_coat_of_arms.svg.png,4,public,Australia,Australian Capital Territory,22000,1946,61261257257,future.student@anu.edu.au,https://www.anu.edu.au/,"politics, astronomy, economics","Australian National University was founded in 1946 and they are popular for politics, astronomy and economics.",NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Australian University of Theology,-33.883,151.199,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Australian_University_of_Theology_Shield.svg/270px-Australian_University_of_Theology_Shield.svg.png,NA,private,Australia,New South Wales,3000,1891,61292627890,NA,https://aut.edu.au/,theology,Australian University of Theology was founded in 1891 and they are popular for theology.,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Avondale University,-33.073,151.479,https://upload.wikimedia.org/wikipedia/en/5/59/Avondale_University_Logo.png,NA,private,Australia,New South Wales,1500,1897,61249802222,reception@avondale.edu.au,http://avondale.edu.au/,"nursing, education",Avondale University was founded in 1897 and they are popular for nursing and education.,NA,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Bond University,-28.074,153.425,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Bond_University_Coat_of_Arms.png/270px-Bond_University_Coat_of_Arms.png,26,private,Australia,Queensland,6000,1987,61755951024,NA,https://bond.edu.au/,"law, business",Bond University was founded in 1987 and they are popular for law and business.,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Central Queensland University,-23.321,150.52,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Central_Queensland_University_Coat_of_Arms.svg/195px-Central_Queensland_University_Coat_of_Arms.svg.png,35,public,Australia,Queensland,34000,1967,61749309000,NA,https://www.cqu.edu.au/,"nursing, aviation",Central Queensland University was founded in 1967 and they are popular for nursing and aviation.,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Charles Darwin University,-12.376,130.885,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Charles_Darwin_University_Crest.jpg/263px-Charles_Darwin_University_Crest.jpg,26,public,Australia,Northern Territory,23000,2003,61879436660,study@cdu.edu.au,https://www.cdu.edu.au/,"indigenous studies, desert ecology",Charles Darwin University was founded in 2003 and they are popular for indigenous studies and desert ecology.,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Charles Sturt University,-35.117,147.357,https://upload.wikimedia.org/wikipedia/en/f/f8/CSU_crest.png,38,public,Australia,New South Wales,36000,1989,61800275278,NA,https://www.csu.edu.au/,agriculture,Charles Sturt University was founded in 1989 and they are popular for agriculture.,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Curtin University,-32.0068,115.8942,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Curtin_University_Crest.jpg/270px-Curtin_University_Crest.jpg,14,public,Australia,Western Australia,62000,1986,61892665888,NA,https://www.curtin.edu.au/,mining engineering,Curtin University was founded in 1986 and they are popular for mining engineering.,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
