University,Abbreviation,Latitude,Longitude,Logo,Rank,Type,Country,Location,StudentPopulation,Year,Contact,Email,Website,Strength,Description,Exchange,agricultural_veterinary_sciences,arts_design,business_management_law,education_Training,engineering_technology,health_medicine,humanities_languages,ict,natural_sciences,social_behavioral_sciences,services,transport_safety_security_military
Adelaide University,-,-34.9208,138.6042,https://upload.wikimedia.org/wikipedia/en/thumb/6/61/Adelaide_University_Common_Seal.svg/345px-Adelaide_University_Common_Seal.svg.png,NA,public,Australia,South Australia,23000,2024,61874205115,NA,https://adelaideuni.edu.au/,"AI, Health Tech",Adelaide University was founded in 2024 and they are popular for AI and health tech.,NA,"Agriculture, Animal and Veterinary Science","Architecture, Art History, Creative Writing, Design, Film Studies, Fine Art, Music, Theatre","Accounting, Business Analytics, Commerce, Economics, Finance, Law, Management, Marketing",Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, Mechanical Engineering, Software Engineering","Dentistry, Medicine, Nursing, Pharmacy, Physiotherapy, Psychology","Classics, English Literature, History, Languages, Philosophy, Religious Studies","Computer Science, Information Technology","Biology, Chemistry, Earth Science, Mathematics, Physics","Criminology, Geography, Political Science, Social Work, Sociology",NA,NA
Australian Catholic University,ACU,-33.883,151.209,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Australian_Catholic_University_Coat_of_Arms.png/270px-Australian_Catholic_University_Coat_of_Arms.png,26,public,Australia,Australia National,35000,1991,61390070643,NA,https://www.acu.edu.au/,"Nursing, Theology",Australian Catholic University was founded in 1991 and they are popular for nursing and theology.,NA,NA,"Creative Art, Fine Art, Music, Performing Art","Accounting, Business, Commerce, Economics, Finance, Human Resource Management, Information Systems, Law, Management, Marketing","Education, Early Childhood Education, Primary Education, Secondary Education, Special Education, Religious Education",NA,"Biomedical Science, Nursing, Occupational Therapy, Physiotherapy, Psychology, Speech Pathology","History, Philosophy, Theology","Cybersecurity, Data Science","Biochemistry, Biology, Chemistry, Environmental Science","Criminology, Psychology, Social Work",NA,NA
Australian National University,ANU,-35.2776,149.1188,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Australian_National_University_coat_of_arms.svg/270px-Australian_National_University_coat_of_arms.svg.png,4,public,Australia,Australian Capital Territory,22000,1946,61261257257,future.student@anu.edu.au,https://www.anu.edu.au/,"Politics, Astronomy, Economics","Australian National University was founded in 1946 and they are popular for politics, astronomy and economics.",NA,NA,"Art History, Design, Film Studies, Music, Theatre, Visual Art","Actuarial Studies, Commerce, Economics, Law",Education,Engineering,"Biomedicine, Medical Science, Nursing","Classics, History, Linguistics, Philosophy, Languages",Computer Science,"Biology, Chemistry, Earth Science, Mathematics, Physics","Anthropology, Criminology, Geography, Political Science, Psychology, Sociology",NA,NA
Australian University of Theology,AUT,-33.883,151.199,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Australian_University_of_Theology_Shield.svg/270px-Australian_University_of_Theology_Shield.svg.png,NA,private,Australia,New South Wales,3000,1891,61292627890,NA,https://aut.edu.au/,Theology,Australian University of Theology was founded in 1891 and they are popular for theology.,NA,NA,NA,NA,NA,NA,NA,"Theology Ministry, Ministry, Philosophy",NA,NA,NA,NA,NA
Avondale University,AU,-33.073,151.479,https://upload.wikimedia.org/wikipedia/en/5/59/Avondale_University_Logo.png,NA,private,Australia,New South Wales,1500,1897,61249802222,reception@avondale.edu.au,http://avondale.edu.au/,"Nursing, Education",Avondale University was founded in 1897 and they are popular for nursing and education.,NA,NA,"Graphic Design, Studio Art","Business Administration, Accounting","Primary Education, Secondary Education",NA,NA,"English, History, Communication",Computer Science,"Biology, Chemistry, Mathematics, Physics","Psychology, Sociology",NA,NA
Bond University,BU,-28.074,153.425,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Bond_University_Coat_of_Arms.png/270px-Bond_University_Coat_of_Arms.png,26,private,Australia,Queensland,6000,1987,61755951024,NA,https://bond.edu.au/,"Law, Business",Bond University was founded in 1987 and they are popular for law and business.,NA,NA,"Creative Industries, Film and Television, Graphic Design, Animation","Accounting, Business, Finance, Human Resource Management, International Business, Law, Management, Marketing, Property Development and Construction Management, Tourism and Resort Management",Education,"Civil Engineering, Electrical Engineering, Mechanical Engineering, Software Engineering","Biomedicine, Clinical Psychology, Nursing, Paramedical Science, Pharmacy, Physiotherapy, Psychology","Communication, English, History, Journalism, Politics, Philosophy and Economics","Information Technology, Cybersecurity","Biotechnology, Environmental Science, Forensic Science, Science","Criminology, Psychology, Sociology",NA,NA
Central Queensland University,CQU,-23.321,150.52,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Central_Queensland_University_Coat_of_Arms.svg/195px-Central_Queensland_University_Coat_of_Arms.svg.png,35,public,Australia,Queensland,34000,1967,61749309000,NA,https://www.cqu.edu.au/,"Nursing, Aviation",Central Queensland University was founded in 1967 and they are popular for nursing and aviation.,NA,"Agriculture, Animal Science, Veterinary Nursing","Creative Writing, Design, Fine Art, Graphic Design, Music, Performing Art, Visual Art","Accounting, Business, Commerce, Economics, Finance, Human Resource Management, Law, Management, Marketing","Education, Early Childhood Education, Primary Education, Secondary Education, Teacher Education, Training and Development","Civil Engineering, Electrical Engineering, Mechanical Engineering, Mining Engineering, Petroleum Engineering, Software Engineering","Nursing, Paramedical Science, Physiotherapy, Public Health, Occupational Therapy, Medical Imaging","English, History, Languages, Literature, Philosophy, Religious Studies","Computer Science, Cybersecurity, Data Science, Information Technology, Software Engineering","Biology, Chemistry, Environmental Science, Geography, Geology, Mathematics, Physics","Criminology, Psychology, Social Work, Sociology","Tourism Management, Hospitality Management","Aviation, Maritime Operations, Security Management"
Charles Darwin University,CDU,-12.376,130.885,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Charles_Darwin_University_Crest.jpg/263px-Charles_Darwin_University_Crest.jpg,26,public,Australia,Northern Territory,23000,2003,61879436660,study@cdu.edu.au,https://www.cdu.edu.au/,"Indigenous Studies, Desert Ecology",Charles Darwin University was founded in 2003 and they are popular for indigenous studies and desert ecology.,NA,"Agriculture, Animal Science, Veterinary Nursing","Creative Art, Design","Accounting, Business, Commerce, Economics, Finance, Law, Management, Marketing","Education, Teaching","Civil Engineering, Electrical Engineering, Mechanical Engineering, Engineering Technology","Nursing, Paramedicine, Public Health, Medical Science","English, History, Languages, Philosophy, Indigenous Studies","Computer Science, Information Technology, Cybersecurity","Biology, Chemistry, Environmental Science, Geography, Mathematics, Physics","Psychology, Sociology, Criminology, Social Work","Tourism, Hospitality","Aviation, Security"
Charles Sturt University,CSU,-35.117,147.357,https://upload.wikimedia.org/wikipedia/en/f/f8/CSU_crest.png,38,public,Australia,New South Wales,36000,1989,61800275278,NA,https://www.csu.edu.au/,Agriculture,Charles Sturt University was founded in 1989 and they are popular for agriculture.,NA,"Agriculture, Animal and Veterinary Science, Equine Science, Viticulture and Oenology","Creative Art, Design","Accounting, Business, Commerce, Economics, Finance, Information Systems, Law, Management",Education,Engineering,"Environmental Health, Nursing, Paramedical Science, Physiotherapy","History, Humanities, Languages","Computer Science, Information Technology","Biotechnology, Environmental Science, Geography, Science","Criminology, Psychology, Social Work",NA,NA
Curtin University,CU,-32.0068,115.8942,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Curtin_University_Crest.jpg/270px-Curtin_University_Crest.jpg,14,public,Australia,Western Australia,62000,1986,61892665888,NA,https://www.curtin.edu.au/,Mining Engineering,Curtin University was founded in 1986 and they are popular for mining engineering.,NA,"Agriculture, Animal Science, Veterinary Biology","Animation, Architecture, Design, Fine Art, Film Production, Graphic Design, Music, Performing Art, Visual Communication","Accounting, Business Analytics, Commerce, Economics, Finance, Human Resource Management, International Business, Law, Management, Marketing, Property, Tourism Management","Education, Teacher Education, Training and Development","Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Engineering Technology, Environmental Engineering, Geotechnical Engineering, Mechanical Engineering, Mechatronics Engineering, Mining Engineering, Petroleum Engineering, Software Engineering, Structural Engineering, Surveying","Biomedical Science, Dentistry, Exercise and Sport Science, Medical Science, Midwifery, Nursing, Occupational Therapy, Paramedical Science, Pharmacy, Physiotherapy, Public Health","English, History, Languages, Literature, Philosophy, Politics","Computer Science, Cybersecurity, Data Science, Information Systems, Information Technology","Biology, Chemistry, Earth Science, Environmental Science, Geography, Mathematics, Physics, Science","Criminology, Psychology, Social Work, Sociology",NA,"Aviation, Defence Studies, Maritime Studies, Security Studies"
