ID,University,Logo,Rank,Type,Location,Student,Year,Contact,Email,Website,Strength,Description,agricultural_food_science,arts_design,economics_business_management,engineering,law_political_science,medicine_pharmacy_health_sciences,physical_science,social_sciences_humanities,sports_physical_education,technology
1,Academy of Finance,https://vnur.vn/wp-content/uploads/2023/01/87.Hoc-vien-Tai-chinh.png,27,Academy,Hanoi,13000,1963,842438385507,hocvientaichinh@hvtc.edu.vn,https://www.aof.org.hk/,"finance, accounting, banking","Academy of Finance was founded in 1963 and they are popular for finance, accounting and banking.",True,False,True,False,True,False,False,True,False,True
2,Academy of Journalism and Communication,https://vnur.vn/wp-content/uploads/2023/01/34.Hoc-vien-Bao-chi-Tuyen-truyen.jpg,37,Academy,Hanoi,7000,1962,842437546963,hvbctt@npa.org.vn,https://www.aejmc.org/,"journalism, communication, media","Academy of Journalism and Communication was founded in 1962 and they are popular for journalism, communication and media.",True,True,True,True,True,False,False,True,True,True
3,Academy of Policy and Development,https://vnur.vn/wp-content/uploads/2023/01/39.Hoc-vien-Chinh-sach-Phat-trien.jpg,69,Academy,Hanoi,2000,2008,842437473186,khht@apd.edu.vn,http://e.apd.edu.vn/,"public policy, economics",Academy of Policy and Development was founded in 2008 and they are popular for public policy and economics.,True,False,True,True,False,False,False,True,False,True
10,Banking Academy of Vietnam,https://vnur.vn/wp-content/uploads/2023/01/47.Hoc-vien-Ngan-hang.jpg,14,Academy,Hanoi,20000,1961,842435726384,truyenthong@hvnh.edu.vn,https://en.hvnh.edu.vn/,"finance, banking, economics, business","Banking Academy of Vietnam was founded in 1961 and they are popular for finance, banking, economics and business.",False,False,True,False,True,False,False,True,True,True
11,Banking University Ho Chi Minh City,https://vnur.vn/wp-content/uploads/2023/01/58.DH-Ngan-hang-TP.HCM_.jpg,34,Public,Ho Chi Minh City,13000,1976,84838291901,dhnhtphcm@hub.edu.vn,https://portal-en.hub.edu.vn/about-us,"banking, finance, economics","Banking University Ho Chi Minh City was founded in 1976 and they are popular for banking, finance and economics.",False,False,True,False,True,False,False,False,True,True
17,Can Tho University,https://vnur.vn/wp-content/uploads/2023/01/7.Can-Tho.jpg,10,Public,Can Tho,45000,1966,842923832663,dhct@ctu.edu.vn.,https://en.ctu.edu.vn/,"agriculture, medicine, engineering, economics","Can Tho University was founded in 1966 and they are popular for agriculture, medicine, engineering and economics.",True,True,True,True,True,True,True,True,True,True
18,Can Tho University of Medicine and Pharmacy,https://upload.wikimedia.org/wikipedia/commons/6/6e/Logo_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Y_D%C6%B0%E1%BB%A3c_C%E1%BA%A7n_Th%C6%A1.gif,49,Public,Can Tho,47000,2002,842923739730,ctump@ctump.edu.vn,https://en.ctu.edu.vn/,"medicine, pharmacy",Can Tho University of Medicine and Pharmacy was founded in 2002 and they are popular for medicine and pharmacy.,False,False,False,False,False,True,True,False,True,True
25,Dai Nam University,https://www.senviet.art/wp-content/uploads/edd/2021/12/dainam.jpg,95,Private,Hanoi,37000,2007,842435577799,dnu@dainam.edu.vn,https://dainam.edu.vn/en,"business, IT, engineering","Dai Nam University was founded in 2007 and they are popular for business, IT and engineering.",True,True,True,True,True,True,False,True,True,True
26,Dalat University,https://vnur.vn/wp-content/uploads/2023/01/38.Da-Lat.jpg,68,Public,Da Lat,11000,1957,842633822246,daihocdalat@dlu.edu.vn,https://dlu.edu.vn/en/,"education, tourism, biology","Dalat University was founded in 1957 and they are popular for education, tourism and biology.",True,True,True,True,True,True,True,True,True,True
27,Diplomatic Academy of Vietnam,https://vnur.vn/wp-content/uploads/2023/01/31.Hoc-vien-Ngoai-giao.jpg,72,Academy,Hanoi,6000,1959,842438344540,tapchi_ncqt@mofa.gov.vn,https://www.dav.edu.vn/en/,"international relations, diplomacy",Diplomatic Academy of Vietnam was founded in 1959 and they are popular for international relations and diplomacy.,False,False,True,True,True,False,False,True,True,True
34,Dong Thap University,https://vnur.vn/wp-content/uploads/2023/01/69.Dong-Thap.jpg,76,Public,Cao Lanh,8000,2003,842773881518,dhdt@dthu.edu.vn,https://en.dthu.edu.vn/,"education, agriculture, social sciences","Dong Thap University was founded in 2003 and they are popular for education, agriculture and social sciences.",True,True,True,True,True,True,True,True,True,True
35,Duy Tan University,https://cdn.duytan.edu.vn/images/icon/logo-duy-tan_vn.png,6,Private,Da Nang,24000,1994,842363650403,khcn.dtu@duytan.edu.vn,http://duytan.edu.vn/,"medicine, engineering, business, IT","Duy Tan University was founded in 1994 and they are popular for medicine, engineering, business and IT.",True,True,True,True,True,True,True,True,True,True
38,Electric Power University,https://vnur.vn/wp-content/uploads/2023/01/25.Dien-luc.jpg,31,Public,Hanoi,10000,2006,842422452662,info@epu.edu.vn,https://english.ncepu.edu.cn/,"electrical engineering, power systems",Electric Power University was founded in 2006 and they are popular for electrical engineering and power systems.,False,True,True,True,True,False,True,True,True,True
