Rank,University Name,Country,Location,Website,Student Population
1,"Indian Institute of Science, Bengaluru",India,Karnataka,iisc.ac.in,5000
2,Jawaharlal Nehru University,India,Delhi,jnu.ac.in,9000
3,Jamia Millia Islamia,India,Delhi,jmi.ac.in,10000
4,Manipal Academy of Higher Education,India,Karnataka,manipal.edu,27000
5,Banaras Hindu University,India,Uttar Pradesh,bhu.ac.in,33000
6,University of Delhi,India,Delhi,du.ac.in,627000
7,Amrita Vishwa Vidyapeetham,India,Tamil Nadu,amrita.edu,26000
8,Aligarh Muslim University,India,Uttar Pradesh,amu.ac.in,39000
9,Jadavpur University,India,West Bengal,jadavpuruniversity.in,13000
10,Vellore Institute of Technology,India,Tamil Nadu,vit.ac.in,42000
11,Saveetha Institute of Medical and Technical Sciences,India,Tamil Nadu,saveetha.com,15000
12,S.R.M. Institute of Science and Technology,India,Tamil Nadu,srmist.edu.in,57000
13,Anna University,India,Tamil Nadu,annauniv.edu,18000
14,Siksha `O` Anusandhan,India,Odisha,soa.ac.in,15000
15,Kalinga Institute of Industrial Technology,India,Odisha,kiit.ac.in,40000
16,Homi Bhabha National Institute,India,Maharashtra,hbni.ac.in,3000
17,University of Hyderabad,India,Telangana,uohyd.ac.in,6000
18,Calcutta University,India,West Bengal,caluniv.ac.in,18000
19,"Birla Institute of Technology and Science, Pilani",India,Rajasthan,bits-pilani.ac.in,16000
20,Chandigarh University,India,Punjab,cuchd.in,31000
21,Kerala University,India,Kerala,keralauniversity.ac.in,84000
22,Koneru Lakshmaiah Education Foundation University,India,Andhra Pradesh,klh.edu.in,17000
23,Savitribai Phule Pune University,India,Maharashtra,unipune.ac.in,60000
24,JSS Academy of Higher Education and Research,India,Karnataka,jssuni.edu.in,6000
25,Andhra University,India,Andhra Pradesh,andhrauniversity.edu.in,15000
26,Bharathiar University,India,Tamil Nadu,b-u.ac.in,4000
27,Lovely Professional University,India,Punjab,lpu.in,35000
28,Shanmugha Arts Science Technology and Research Academy,India,Tamil Nadu,sastra.edu,13000
29,Thapar Institute of Engineering and Technology,India,Punjab,thapar.edu,11000
30,Kalasalingam Academy of Research and Education,India,Tamil Nadu,kalasalingam.ac.in,5000
