Rank,University Name,Country,Location,Website,Student Population
1,Tohoku University,Japan,Miyagi,https://www.tohoku.ac.jp/japanese/,18000
2,Institute of Science Tokyo,Japan,Tokyo,https://www.titech.ac.jp/,11000
3,The University of Tokyo,Japan,Tokyo,https://www.u-tokyo.ac.jp/,29000
4,Kyoto University,Japan,Kyoto,https://www.kyoto-u.ac.jp/,23000
5,Kyushu University,Japan,Fukuoka,https://www.kyushu-u.ac.jp/ja/,19000
6,Osaka University,Japan,Osaka,https://www.osaka-u.ac.jp/,24000
7,Nagoya University,Japan,Aichi,https://www.nagoya-u.ac.jp/,16000
8,Hokkaido University,Japan,Hokkaido,https://www.hokudai.ac.jp/,18000
9,University of Tsukuba,Japan,Ibaraki,https://www.tsukuba.ac.jp/,17000
10,Akita International University,Japan,Akita,https://www.aiu.ac.jp/,1000
11,International Christian University,Japan,Tokyo,https://www.icu.ac.jp/,10000
12,Keio University,Japan,Tokyo,https://www.keio.ac.jp/ja/,34000
13,Hiroshima University,Japan,Hiroshima,https://www.hiroshima-u.ac.jp/,16000
14,Waseda University,Japan,Tokyo,https://www.waseda.jp/top/,48000
15,Kobe University,Japan,Hyogo,https://www.kobe-u.ac.jp/ja/,16000
16,Chiba University,Japan,Chiba,https://www.chiba-u.ac.jp/,14000
17,Hitotsubashi University,Japan,Tokyo,https://www.hit-u.ac.jp/,5000
18,Tokyo Medical and Dental University,Japan,Tokyo,https://www.tmd.ac.jp/,3000
19,Kanazawa University,Japan,Ishikawa,https://www.kanazawa-u.ac.jp/,11000
20,Okayama University,Japan,Okayama,https://www.okayama-u.ac.jp/,14000
21,Tokyo University of Agriculture and Technology,Japan,Tokyo,https://www.tuat.ac.jp/,6000
