Rank,University Name,Country,Location,Website,Student Population
1,Seoul National University,Korea,Seoul,https://en.snu.ac.kr/,28000
2,Korea Advanced Institute of Science & Technology,Korea,Daejeon,https://www.kaist.ac.kr/en/,11000
3,Sungkyunkwan University,Korea,Seoul,https://www.skku.edu/eng/index.do,26000
3,Yonsei University,Korea,Seoul,https://www.yonsei.ac.kr/,37000
5,Pohang University of Science and Technology,Korea,Pohang,https://www.postech.ac.kr/eng/index.do,3500
6,Korea University,Korea,Seoul,https://www.korea.edu/,38000
7,Sejong University,Korea,Seoul,https://en.sejong.ac.kr/eng/index.do,20000
7,Ulsan National Institute of Science and Technology,Korea,Eonyang,https://www.unist.ac.kr/,4000
9,Hanyang University,Korea,Seoul,https://www.hanyang.ac.kr/web/eng,25000
9,Kyung Hee University,Korea,Seoul,https://www.khu.ac.kr/eng/user/main/view.do,33000
11,Daegu Gyeongbuk Institute of Science and Technology,Korea,Daegu,https://www.dgist.ac.kr/eng/index.do,3000
12,Gwangju Institute of Science and Technology,Korea,Gwangju,https://www.gist.ac.kr/en/main.html,2000
12,Chung-Ang University,Korea,Seoul,https://neweng.cau.ac.kr/,30000
14,Konkuk University,Korea,Seoul,https://www.konkuk.ac.kr/,30000
14,University of Ulsan,Korea,Ulsan,https://www.ulsan.ac.kr/,15000
14,Pusan National University,Korea,Busan,https://www.pusan.ac.kr/eng,37000
14,Ajou University,Korea,Suwon,https://www.ajou.ac.kr/en/index.do,14000
14,Kyungpook National University,Korea,Daegu,https://en.knu.ac.kr/,36000
19,Yeungnam University,Korea,Gyeongsan,https://www.yu.ac.kr/,32000
19,Ewha Womans University,Korea,Seoul,https://www.ewha.ac.kr/ewhaen/index.do,25000
19,The Catholic University of Korea,Korea,Seoul,https://www.catholic.ac.kr/,11000
19,Gachon University,Korea,Seongnam,https://www.gachon.ac.kr/,23000
23,University of Seoul,Korea,Seoul,https://www.uos.ac.kr/,12000
23,Inha University,Korea,Incheon,https://eng.inha.ac.kr/,20000
23,Jeonbuk National University,Korea,Jeonju,https://www.jbnu.ac.kr/,32000
23,Chonnam National University,Korea,Gwangju,https://www.jnu.ac.kr/,31000
23,Sogang University,Korea,Seoul,https://www.sogang.ac.kr/,12000
28,Chungnam National University,Korea,Daejeon,https://www.cnu.ac.kr/,28000
28,Chungbuk National University,Korea,Cheongju,https://www.chungbuk.ac.kr/,24000
28,Jeju National University,Korea,Jeju,https://www.jejunu.ac.kr/,19000
